214,DORCHESTER ST + PROVIDENCE ST 2,42.2517,-71.79215
215,DORCHESTER ST + CUTLER ST,42.251982,-71.786571
217,DORCHESTER ST + ARTHUR ST,42.252148,-71.783843
218,DORCHESTER ST + ARTHUR ST,42.2522,-71.78396
219,DORCHESTER ST + HOUGHTON ST,42.25207,-71.78646
221,DORCHESTER ST + MENDON ST,42.25198,-71.78783
222,DORCHESTER ST + BARCLAY ST,42.2519,-71.78906
223,DORCHESTER ST + CHAPIN ST,42.25179,-71.79101
224,DORCHESTER ST + PROVIDENCE ST,42.25173,-71.79232
229,FIRST ST + 7 FIRST ST,42.254889,-71.847283
239,FOSTER ST + WALDO ST,42.264797,-71.800535
242,FOSTER ST + MAJOR TAYLOR BLVD,42.263406,-71.7968
243,FRANKLIN ST + CITY HALL,42.26178,-71.80149
246,FRONT ST + CITY HALL,42.26318,-71.80176
248,GODDARD DR AT 135 G DRIVE,42.253988,-71.86654
249,GODDARD DR AT UPPER PARSONS HILL,42.247618,-71.861063
250,GODDARD DR + UPPER PARSONS HILL DR,42.247428,-71.861175
251,GODDARD DR + 135 GODDARD DR,42.254255,-71.866833
253,GOLD STAR BLVD + CHADWICK ST,42.288156,-71.805138
255,GOLD STAR BLVD + MILLBROOK ST,42.2893,-71.80418
256,GOLD STAR BLVD + RUTHVEN AVE,42.29082,-71.80323
257,GOLD STAR BLVD + WEST BOYLSTON TER,42.29209,-71.8027
258,GOLD STAR BLVD + FROSTHOLM ST,42.29355,-71.80244
259,GOLD STAR BLVD + NEPONSET ST,42.29782,-71.80283
260,GRAFTON ST + CORAL ST,42.257333,-71.791563
261,GRAFTON ST + WAVERLY ST,42.25653,-71.78994
262,GRAFTON ST + MENDON ST,42.256173,-71.78797
263,GRAFTON ST + HOUGHTON ST,42.2559,-71.78601
264,GRAFTON ST + FAIRMONT AVE,42.250853,-71.779603
265,GRAFTON ST + PURITAN AVE,42.250874,-71.77743
266,GRAFTON ST + LAMAR AVE,42.250133,-71.77544
267,GRAFTON ST + DANA AVE,42.25044,-71.773523
268,GRAFTON ST + INVERNESS AVE,42.250741,-71.771998
269,GRAFTON ST + CORRINE ST,42.250504,-71.768891
271,GRAFTON ST + PROGRESSIVE ST,42.250521,-71.765038
272,GRAFTON ST + TEMPLE ST,42.25974,-71.79381
273,GRAFTON ST + ARTHUR ST,42.255328,-71.785029
274,GRAFTON ST + PALM ST,42.254726,-71.784259
275,GRAFTON ST + FLOWER ST,42.252693,-71.782837
277,GRAFTON ST + VALMOR ST,42.250676,-71.767042
278,GRAFTON ST + JENNINGS ST,42.248697,-71.762426
279,GRAFTON ST + ARCADIA ST,42.247703,-71.761411
280,GRAFTON ST + DALTON ST,42.246171,-71.759886
281,GRAFTON ST + 1003 GRAFTON ST,42.244161,-71.757318
282,GRAFTON ST + PINE HILL RD,42.243588,-71.756413
283,GRAFTON ST + SUNDERLAND RD,42.241316,-71.754196
285,GRAFTON ST + MONTEFORTE ST,42.239155,-71.753258
286,GRAFTON ST + CLARISSA ST,42.23793,-71.752754
292,GRAFTON ST + SUNDERLAND RD,42.24153,-71.754266
293,GRAFTON ST + JENNINGS ST,42.24854,-71.762023
294,GRAFTON ST + PLANTATION ST,42.25173,-71.78204
295,GRAFTON ST + HALE ST,42.254396,-71.78364
296,GRAFTON ST + CAROLINE ST,42.255231,-71.784633
297,GRAFTON ST + PENN AVE,42.25728,-71.79106
298,GRAFTON ST + FRANKLIN ST,42.25971,-71.79366
299,GRAFTON ST + CORRINE ST,42.250686,-71.76854
300,GRAFTON ST + DANA AVE,42.250526,-71.773555
301,GRAFTON ST + DELMONT AVE,42.250225,-71.775311
302,GRAFTON ST + FAIRMONT AVE,42.251051,-71.778561
303,GRAFTON ST + RUGBY ST,42.251006,-71.779714
304,GRAFTON ST + ORIENT ST,42.25602,-71.78568
305,GRAFTON ST + FAY ST,42.256202,-71.78763
309,GRAFTON ST + BLITHEWOOD AVE,42.236818,-71.751811
310,GRAFTON ST + CLARISSA ST,42.237803,-71.752486
311,GRAFTON ST + PINE HILL RD,42.243605,-71.756301
315,GRAFTON ST + BANGOR ST,42.250605,-71.764928
316,GRAFTON ST + FLOWER ST,42.252688,-71.782606
317,GRAFTON ST + WARNER AVE,42.250893,-71.772395
318,GRAFTON ST + PURITAN AVE,42.250961,-71.777104
319,GRAFTON ST + MENDON ST,42.25647,-71.78924
330,GREEN ST + TEMPLE ST,42.259301,-71.798248
332,GREEN ST + GOLD ST,42.257335,-71.798054
333,GREEN ST + MADISON ST,42.255704,-71.798152
334,GREEN ST + HARDING ST,42.255771,-71.797841
335,GREEN ST + HARRISON ST,42.256996,-71.79793
336,GREEN ST + GODDARD ST,42.258156,-71.798056
338,GREENWOOD ST + EKMAN ST,42.231166,-71.793723
339,GREENWOOD ST + KOSTA ST,42.229598,-71.793192
340,GREENWOOD ST + TATMAN ST,42.228522,-71.793036
341,GREENWOOD ST + 137 GREENWOOD ST,42.227201,-71.793058
342,GREENWOOD ST + 159 GREENWOOD ST,42.226088,-71.79371
